"YearStart","LocationDesc","Data_Value","Data_Value_Footnote","Sample_Size","StratificationCategory1","Stratification1"
2011,"Vermont",26.2,"",936,"Income","$35,000 - $49,999"
2011,"Vermont",25.9,"",1087,"Income","$50,000 - $74,999"
2011,"Vermont",20,"",1613,"Income","$75,000 or greater"
2011,"Vermont",22,"",836,"Income","Data not reported"
2011,"Vermont",29.6,"",639,"Income","Less than $15,000"
2011,"Virginia",33.6,"",929,"Income","$15,000 - $24,999"
2011,"Virginia",36,"",566,"Income","$25,000 - $34,999"
2011,"Virginia",33,"",757,"Income","$35,000 - $49,999"
2011,"Virginia",25.2,"",840,"Income","$50,000 - $74,999"
2011,"Virginia",26.1,"",1778,"Income","$75,000 or greater"
2011,"Virginia",24.6,"",782,"Income","Data not reported"
2011,"Virginia",34.3,"",499,"Income","Less than $15,000"
2011,"Washington",28.6,"",1961,"Income","$15,000 - $24,999"
2011,"Washington",28.9,"",1636,"Income","$25,000 - $34,999"
2011,"Washington",30,"",2051,"Income","$35,000 - $49,999"
2011,"Washington",29.1,"",2228,"Income","$50,000 - $74,999"
2011,"Washington",22.4,"",3436,"Income","$75,000 or greater"
2011,"Washington",22.1,"",1693,"Income","Data not reported"
2011,"Washington",28.7,"",891,"Income","Less than $15,000"
2011,"West Virginia",37.1,"",948,"Income","$15,000 - $24,999"
2011,"West Virginia",35.3,"",749,"Income","$25,000 - $34,999"
2011,"West Virginia",34.9,"",663,"Income","$35,000 - $49,999"
2011,"West Virginia",27.8,"",547,"Income","$50,000 - $74,999"
2011,"West Virginia",28.5,"",651,"Income","$75,000 or greater"
2011,"West Virginia",24.9,"",748,"Income","Data not reported"
2011,"West Virginia",37.1,"",652,"Income","Less than $15,000"
2011,"Wisconsin",27,"",986,"Income","$15,000 - $24,999"
2011,"Wisconsin",33.8,"",899,"Income","$25,000 - $34,999"
2011,"Wisconsin",28,"",723,"Income","$35,000 - $49,999"
2011,"Wisconsin",25.8,"",667,"Income","$50,000 - $74,999"
2011,"Wisconsin",24.1,"",808,"Income","$75,000 or greater"
2011,"Wisconsin",24.5,"",497,"Income","Data not reported"
2011,"Wisconsin",37.1,"",361,"Income","Less than $15,000"
2011,"Wyoming",24.6,"",932,"Income","$15,000 - $24,999"
2011,"Wyoming",23.7,"",651,"Income","$25,000 - $34,999"
2011,"Wyoming",25.5,"",899,"Income","$35,000 - $49,999"
2011,"Wyoming",24.4,"",1088,"Income","$50,000 - $74,999"
2011,"Wyoming",24.5,"",1717,"Income","$75,000 or greater"
2011,"Wyoming",21.8,"",741,"Income","Data not reported"
2011,"Wyoming",32.2,"",537,"Income","Less than $15,000"
2011,"National",31.3,"",74049,"Income","$15,000 - $24,999"
2011,"National",29.5,"",48943,"Income","$25,000 - $34,999"
2011,"National",28.7,"",61354,"Income","$35,000 - $49,999"
2011,"National",28.4,"",64688,"Income","$50,000 - $74,999"
2011,"National",22.8,"",110120,"Income","$75,000 or greater"
2011,"National",23.2,"",61948,"Income","Data not reported"
2011,"National",32.3,"",49598,"Income","Less than $15,000"
2011,"Guam",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$15,000 - $24,999"
2011,"Guam",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$25,000 - $34,999"
2011,"Guam",NA,"Data not available because sample size is insufficient or data not reported.",NA,"Income","$35,000 - $49,999"
